,UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
216,Datuk NCK,@DatukNck,2018-02-18T07:12:27.000Z,Kempen Derma Darah Anjuran Bulan Sabit Merah Malaysia Daerah Jasin Dengan Kerjasama KBBT Kesang… https://instagram.com/p/BfVEcq3n5Sv/,,,,,,https://twitter.com/DatukNck/status/965121821161938944
217,Pusat Kesihatan UPM,@pkuupm,2018-03-01T11:19:44.000Z,"Persatuan Bulan Sabit Merah Malaysia Chapter UPM dengan kerjasama PKU, 
@BHEP_UPM
 , PKPP , 
@Pusat
 Kebudayaan dan Kesenian Sultan Salahuddin Abdul Aziz Shah dan 
@PDNKKM
 akan menganjurkan sebuah Kempen Derma Darah yang akan dilangsungkan seperti ketetapan di bawah",,1.0,,,,https://twitter.com/pkuupm/status/969170315220676608
218,MotoMalaya.net,@motomalaya,2018-03-07T01:11:30.000Z,Mari Bersama Kita Sertai Kempen Derma Darah Kawasaki Motors Malaysia! (http://bit.ly/2oVkigr),,,1.0,1.0,,https://twitter.com/motomalaya/status/971191579137400833
219,Malaysia Aktif,@malaysia_aktif,2018-03-07T07:48:50.000Z,Kesedaran Kepentingan Derma Darah  Seusia Remaja http://malaysiaaktif.my/malaysiaaktif2/?p=41900…,,,1.0,,,https://twitter.com/malaysia_aktif/status/971291567679049728
220,EZvybe,@EZvybe,2018-03-07T08:38:18.000Z,Mari Bersama Kita Sertai Kempen Derma Darah Kawasaki Motors Malaysia! https://izon9.com/mari-bersama-kita-sertai-kempen-derma-darah-kawasaki-motors-malaysia/…,,,,,https://pbs.twimg.com/media/DXrD2ykX4AA1aQe?format=jpg&name=small,https://twitter.com/EZvybe/status/971304018524897282
221,Malaysia Aktif,@malaysia_aktif,2018-03-14T13:26:12.000Z,Peranan Penerangan Penting Tingkat Kesedaran Derma Darah http://malaysiaaktif.my/malaysiaaktif2/?p=42267…,,,1.0,,,https://twitter.com/malaysia_aktif/status/973913184955285504
222,蓮,@ren_kaos,2018-03-15T04:55:45.000Z,"sama macam rasuah dan kroni kat malaysia ni. susah nak buang, dah jadi darah daging. nanti pusing pergi derma n tolong kaum sendiriQuote Tweet
sang gabriel
@sanggabby
 · Mar 15, 2018
Pistol dan senapang ni sejenis culture di Amerika. Susah nak buang.",🍙,,,,https://pbs.twimg.com/profile_images/1199484486888509441/sSRCImw0_mini.jpg,https://twitter.com/ren_kaos/status/974147114111401985
223,Malaysia Aktif,@malaysia_aktif,2018-03-16T09:50:10.000Z,"Derma Darah, Giatmara Kimanis Ajak Pelatih Kongsi Kepentingannya  http://malaysiaaktif.my/malaysiaaktif2/?p=42326…",,,1.0,,,https://twitter.com/malaysia_aktif/status/974583593488891909
224,BloodBankHUS,@BloodBankHUS,2018-03-21T02:09:09.000Z,"Selamat pagi warga penderma!

Hari ini Unit Bergerak Kempen Derma Darah kami berada di Bangunan Sultan Iskandar, Simpang 3.

Kali ini tiba giliran Jabatan Imigresen Malaysia, Negeri Sarawak bekerjasama dengan kami... https://facebook.com/BloodBankHUS/posts/1683954128355873…",,,,1.0,,https://twitter.com/BloodBankHUS/status/976279516321538048
225,Pmfsu Usim,@PMFSU_USIM,2018-04-07T03:43:22.000Z,"Assalammualaikum wbt. Alright guys ini adalah thread!

Bersempena
 Mahrajan Sambutan Fakulti Syariah dan Udang-undang (MANSAF 6.0)

Tarikh: 9-14 April 2018
Tempat: FSU USIM

Jom ikuti thread ini untuk mengetahui program-program yang akan berlangsung!

#Mansaf6
#LightUPOKURun1",,1.0,26.0,15.0,https://pbs.twimg.com/media/DaJkJcWVwAMt3uq?format=jpg&name=small,https://twitter.com/PMFSU_USIM/status/982463819086573568
226,Pmfsu Usim,@PMFSU_USIM,2018-04-07T03:43:23.000Z,"1. Bual bicara ""Dasar Luar Malaysia: Hikmah Atau Izzah?"" 
2. Shariah Law Innovation Competition 
3. Kempen Derma Darah MANSAF 6.0 
4. Pemeriksaan Keiahatan MANSAF 6.0 ",📢 ❤ 🧡,1.0,2.0,3.0,https://abs-0.twimg.com/emoji/v2/svg/1f1f2-1f1fe.svg,https://twitter.com/PMFSU_USIM/status/982463821821325312
227,BloodBankHUS,@BloodBankHUS,2018-04-05T11:26:41.000Z,"Bertempat di Dewan Bukavu, Kem Penrissen, sebuah lagi Unit Bergerak Kempen Derma Darah kami telah mengadakan Kempen Derma Darah dengan kerjasama Angkatan Tentera Malaysia (ATM).

Seramai 162 anggota ATM telah... https://facebook.com/BloodBankHUS/posts/1699406296810656…",,,,,,https://twitter.com/BloodBankHUS/status/981855639575187456
228,Malaysia Aktif,@malaysia_aktif,2018-04-12T09:30:39.000Z,"Hospital Perlu 300 Pain Darah Sehari, Jom Derma Darah! http://malaysiaaktif.my/malaysiaaktif2/?p=43272…",,,1.0,,,https://twitter.com/malaysia_aktif/status/984363153625563138
229,BloodBankHUS,@BloodBankHUS,2018-04-14T06:16:15.000Z,"Hari ini dua buah Unit Bergerak Kempen Derma Darah kami telah mengadakan Kempen Derma Darah di dua lokasi Kota Samarahan.

Lokasi pertama ialah di Fakulti Sains Sosial Universiti Malaysia Sarawak (UNIMAS).

Lokasi... https://facebook.com/BloodBankHUS/posts/1708380482579904…",,,,,,https://twitter.com/BloodBankHUS/status/985039010795008000
230,SayangSabah.Com,@SayangiSabah,2018-04-13T03:28:39.000Z,"Bagi memenuhi keperluan sebanyak 300 pain darah sehari, Persatuan Bulan Sabit Merah Malaysia (BSMM) Sabah akan mengadakan kempen derma darah pada untuk disalurkan kepada Unit Tabung Darah Hospital Queen Elizabeth (HQE) II. #SayangSabah

Ikut kamo di... https://sayangsabah.com/hospital-perlu-300-pain-darah-sehari-jom-derma-darah/…",,,,1.0,,https://twitter.com/SayangiSabah/status/984634441086758912
231,Rakyat | Ebooks,@twt_msia_ebooks,2018-04-17T14:36:42.000Z,"Best ais kacang is RT event derma darah around 6months ago rmc OPs had 7-11 Malaysia rasa anda, KTM Salak Selatan bukan kaki naik je lately",,,,,,https://twitter.com/twt_msia_ebooks/status/986252115218583552
232,Si tinggi lampai,@BungaDahlia01,2018-04-18T02:20:26.000Z,"Replying to 
@mattdome1tau xpe..kncing manis ni kalo luka lmbt nk elok...kompem kne potong...kne kurangkn manis2...masin2...darah tggi pon bhye gak...",😉,1.0,,,,https://twitter.com/BungaDahlia01/status/986429215418368000
233,Matt ada Dimana mana,@mattdome1,2018-04-18T02:22:07.000Z,"HAHA tahu tkpe, nk buat cmna? penyakit tu kan femes kat Malaysia ni. Kat sna tkda ke derma darah",,1.0,,,,https://twitter.com/mattdome1/status/986429636635586560
234,Haziq Haridan,@haziqharidan,2018-04-16T07:45:38.000Z,"Done derma darah (@ SME Bank Malaysia in Kuala Lumpur, Wilayah Persekutuan) https://swarmapp.com/c/eE1KeVi8WNy",,,,,,https://twitter.com/haziqharidan/status/985786277114122242
235,Malaysia Aktif,@malaysia_aktif,2018-04-24T02:34:44.000Z,Sekolah Dipelawa Anjur Kempen Kesedaran Derma Darah http://malaysiaaktif.my/malaysiaaktif2/?p=43712…,,,2.0,,,https://twitter.com/malaysia_aktif/status/988607139890384896
236,UKM (Malaysia),@ukm_my,2018-05-02T00:37:08.000Z,"Derma darah telah menyelamatkan banyak kehidupan rakyat Malaysia, tetapi adakah anda tahu bahawa ia juga dapat menyelamatkan nyawa anda? Jom DERMA DARAH di Pusat Kesihatan UKM Bangi hari ini! Bagi 20 penderma terawal, ada cenderahati misteri menanti anda. #BloodDonation",,,3.0,1.0,https://pbs.twimg.com/media/DcJui8yVMAAu7ub?format=jpg&name=small,https://twitter.com/ukm_my/status/991476650964467712
