UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
RTM Malaysia,@RTM_Malaysia,2019-03-13T03:15:00.000Z,"Satu program derma darah akan di adakan pada 16 Mac 2019 bertempat di Masjid Bandar Tun Hussein Onn Cheras bermula jam 8.30 pagi hingga 2 petang. Orang ramai di jemput hadir untuk sama-sama menderma darah membantu mereka yang memerlukan.

#jomdermadarah
#darahtakpernahcuti",,,1,1,https://pbs.twimg.com/media/D1cPTlRU0AAc4rs?format=jpg&name=small,https://twitter.com/RTM_Malaysia/status/1105668554358169600
RTM Malaysia,@RTM_Malaysia,2019-03-11T11:45:01.000Z,"Ceramah pakar dari pusat darah negara bermula pada 12 Mac 2019 (SELASA) pukul 8.30 pagi di Auditorium P.Ramlee dan aktiviti derma darah bermula pada pukul 9.00 pagi di Foyer Wisma Radio bersama 
@traxxfmofficial",,,,,https://pbs.twimg.com/media/D1WzLlyUYAAngU3?format=jpg&name=small,https://twitter.com/RTM_Malaysia/status/1105072127231721472
RTM Malaysia,@RTM_Malaysia,2019-03-19T13:45:00.000Z,"Jom derma darah di Masjid Saujana Utama pada 23 Mac ini bermula jam 9 pagi hingga 3 petang. 
@PDNKKM",,,1,,https://pbs.twimg.com/media/D1_I_y1VYAE8UQ_?format=jpg&name=medium,https://twitter.com/RTM_Malaysia/status/1108001425945038850
RTM Malaysia,@RTM_Malaysia,2019-03-20T01:45:00.000Z,"Jadual Kempen Derma Darah
20 Mac 2019 (Rabu)

* Jadual ini tertakluk kepada sebarang bentuk pindaan. Pihak PDN memohon agar para penderma hadir ke lokasi kempen 30 minit sebelum waktu tamat 
@PDNKKM",,,,2,https://pbs.twimg.com/media/D2AIftGUgAA9FkA?format=jpg&name=small,https://twitter.com/RTM_Malaysia/status/1108182620188434432
Z@cK,Z@cK,2019-03-25T02:57:12.000Z,"Malaysia tempat ke 5 derma darah... Tapi tabung darah sentiasa tak cukup.. Why?Quote Tweet
World Index
@theworldindex
 · Mar 25, 2019
Willing to donate blood:
S Arabia: 58%
Turkey: 54%
India: 52%
Colombia: 40%
Malaysia: 40%
S Africa: 31%
Brazil: 30%
Spain: 30%
Mexico: 29%
US: 23%
France: 23%
Australia: 20%
Poland: 19%
UK: 18%
Germany: 17%
Canada: 16%
Japan: 11%

(Ipsos, 2018)",,,,,https://pbs.twimg.com/profile_images/966631777220603904/bSPrJFRy_mini.jpg,https://twitter.com/zackMetafora/status/1110012727798304768
RTM Malaysia,@RTM_Malaysia,2019-03-24T23:45:00.000Z,"Jadual Kempen Derma Darah
25 Mac 2019 (Isnin)

* Jadual ini tertakluk kepada sebarang bentuk pindaan. Pihak PDN memohon agar para penderma hadir ke lokasi kempen 30 minit sebelum waktu tamat.
@PDNKKM",,,11,11,https://pbs.twimg.com/media/D2bHe3kUgAIquBl?format=jpg&name=small,https://twitter.com/RTM_Malaysia/status/1109964359961198592
XposeRadikal,@XposeRadikal,2019-03-28T08:00:38.000Z,"Polis  sedang mengesan individu bernama ‘Julia’ untuk membantu siasatan pungutan derma bagi membantu kanak-kanak pesakit kanser darah melalui Facebook (FB) yang tular baru-baru ini.

Suruhanjaya Komunikasi dan Multimedia Malaysia
Polis Diraja...Polis cari 'Julia'
POLIS sedang mengesan individu bernama ‘Julia’ untuk membantu siasatan pungutan derma bagi membantu kanak-kanak pesakit kanser darah melalui Facebook (FB) yang tular baru-baru ini.
hmetro.com.my",,,,,,https://twitter.com/XposeRadikal/status/1111176256350048257
MADA Jelapang Padi,@mada_malaysia,2019-03-27T01:55:52.000Z,"Setitik darah anda mampu membantu insan lain. Ayuh warga MADA kita sama-sama menderma darah. 

#madamabeles
#OurFoodOurFuture 
#MCS2019",,1,3,1,https://pbs.twimg.com/media/D2oTw8_VAAAN967?format=jpg&name=360x360,https://twitter.com/mada_malaysia/status/1110722072378892288
Neyra Shazeyra,@neyrashazeyra,2019-03-27T02:13:46.000Z,Kat mana ni? Dah lama x derma darah. Nak dermaaaaaaaa...,,,,,,https://twitter.com/neyrashazeyra/status/1110726575568240640
Noraminah Omar,@NoraminahO,2019-04-02T07:45:51.000Z,"#dermadarah

Kempen derma Darah Malaysia https://facebook.com/noraminahomar/posts/2593063440735958…",,,,1,,https://twitter.com/NoraminahO/status/1112984474982252544
